epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.305,1.37086,3.42066,1.70311,0.26008,0.26628,0.16487,0.09873,1.43032,3.30138,1.8583,0.0802074,0.000199925,0.000199925
2,1021.2,1.35772,2.91262,1.68241,0.29383,0.33286,0.21424,0.12782,1.23488,2.7302,1.63554,0.0604073,0.000399772,0.000399772
3,1519.58,1.3288,2.76431,1.6638,0.29583,0.3984,0.29436,0.18495,1.26198,2.41024,1.66303,0.0406065,0.000599009,0.000599009
4,2013.45,1.30165,2.63999,1.64095,0.42059,0.45431,0.39062,0.24956,1.18793,2.10692,1.54533,0.0208047,0.00079718,0.00079718
5,2502.76,1.27751,2.54641,1.62625,0.43809,0.43584,0.39167,0.25735,1.16793,2.05931,1.52334,0.00100135,0.000993831,0.000993831
6,2996.75,1.24601,2.46498,1.60277,0.46284,0.47926,0.44828,0.3213,1.00849,1.91941,1.41653,0.000990489,0.000990489,0.000990489
7,3489.49,1.23523,2.38265,1.58717,0.53117,0.49766,0.49346,0.33976,1.06628,1.82979,1.43945,0.000986323,0.000986323,0.000986323
8,3981.29,1.20473,2.31421,1.56829,0.5119,0.50941,0.4895,0.34971,0.97287,1.80781,1.39763,0.000981415,0.000981415,0.000981415
9,4475.74,1.19676,2.25698,1.55967,0.53143,0.52112,0.52514,0.37638,1.00118,1.74486,1.40761,0.000975773,0.000975773,0.000975773
10,4972,1.1793,2.19225,1.54502,0.53247,0.51842,0.52567,0.3812,0.97887,1.72635,1.37553,0.000969405,0.000969405,0.000969405
11,5464.69,1.16651,2.16299,1.53525,0.53547,0.54044,0.5583,0.41295,0.93729,1.60822,1.35574,0.00096232,0.00096232,0.00096232
12,5960.84,1.1562,2.12038,1.52833,0.56512,0.53477,0.55377,0.42087,0.87397,1.63478,1.30468,0.000954531,0.000954531,0.000954531
13,6456.64,1.14966,2.09723,1.52129,0.57381,0.55906,0.58464,0.43402,0.94047,1.56902,1.34705,0.000946048,0.000946048,0.000946048
14,6950.68,1.13633,2.04223,1.50809,0.58042,0.57159,0.58706,0.4431,0.89451,1.55115,1.3185,0.000936886,0.000936886,0.000936886
15,8965.88,1.13548,2.00516,1.50625,0.6284,0.57693,0.61503,0.46282,0.91708,1.49243,1.32449,0.000927057,0.000927057,0.000927057
16,9461.15,1.11832,1.98384,1.49708,0.62588,0.57115,0.6191,0.46722,0.90879,1.47807,1.31526,0.000916577,0.000916577,0.000916577
17,10058.1,1.11825,1.97745,1.49368,0.60384,0.5939,0.61988,0.47136,0.88365,1.48285,1.30005,0.000905463,0.000905463,0.000905463
18,10698.2,1.108,1.93691,1.48608,0.6342,0.5762,0.63169,0.4897,0.84464,1.42391,1.26816,0.000893732,0.000893732,0.000893732
19,11346.6,1.09716,1.90051,1.47633,0.63953,0.60998,0.65331,0.50403,0.85807,1.40078,1.27916,0.000881401,0.000881401,0.000881401
20,11974.4,1.09737,1.89033,1.48085,0.67005,0.6075,0.65832,0.51111,0.84823,1.35987,1.26419,0.00086849,0.00086849,0.00086849
21,12623.2,1.09279,1.87285,1.4725,0.65545,0.61747,0.66479,0.5167,0.82102,1.3525,1.24832,0.000855018,0.000855018,0.000855018
22,13258.8,1.07833,1.8431,1.46102,0.67628,0.61056,0.66128,0.51921,0.81576,1.35763,1.24368,0.000841006,0.000841006,0.000841006
23,13898.6,1.07168,1.81906,1.45574,0.65248,0.61994,0.6658,0.52034,0.82846,1.33673,1.25458,0.000826477,0.000826477,0.000826477
24,14428.8,1.0663,1.79865,1.45219,0.66874,0.62972,0.67717,0.53691,0.8048,1.30685,1.24424,0.000811452,0.000811452,0.000811452
25,14933.7,1.0701,1.78697,1.45499,0.66966,0.64215,0.68478,0.5441,0.80565,1.2857,1.23877,0.000795954,0.000795954,0.000795954
26,15429.2,1.05813,1.7512,1.44455,0.68815,0.62827,0.68736,0.54331,0.81351,1.29448,1.23893,0.000780007,0.000780007,0.000780007
27,15928.1,1.05898,1.73852,1.44166,0.69645,0.62819,0.69226,0.54861,0.79304,1.28608,1.22875,0.000763637,0.000763637,0.000763637
28,16417.9,1.05064,1.72855,1.43659,0.69933,0.61738,0.68862,0.54564,0.80991,1.27935,1.23968,0.000746868,0.000746868,0.000746868
29,16911.9,1.04486,1.71005,1.42919,0.72185,0.62529,0.69809,0.55365,0.80661,1.25801,1.23426,0.000729725,0.000729725,0.000729725
30,17401.5,1.03968,1.68708,1.42744,0.69299,0.64975,0.69963,0.56065,0.77446,1.24432,1.21316,0.000712237,0.000712237,0.000712237
31,17889,1.03666,1.68403,1.42626,0.72519,0.63269,0.70241,0.5643,0.7673,1.24298,1.20598,0.000694428,0.000694428,0.000694428
32,18378.7,1.03062,1.65376,1.4191,0.69979,0.64502,0.70118,0.56355,0.76893,1.23139,1.2041,0.000676328,0.000676328,0.000676328
33,18868.6,1.02104,1.62723,1.41693,0.71723,0.64731,0.70855,0.56974,0.76844,1.21834,1.2041,0.000657963,0.000657963,0.000657963
34,19369.6,1.02089,1.63704,1.41417,0.72866,0.6505,0.71339,0.57497,0.76218,1.20954,1.20731,0.000639363,0.000639363,0.000639363
35,19856.6,1.01335,1.6166,1.40513,0.73351,0.64538,0.7136,0.5782,0.75458,1.20139,1.19988,0.000620555,0.000620555,0.000620555
36,20359.8,1.01267,1.60294,1.41004,0.72495,0.65818,0.72036,0.58491,0.75034,1.19547,1.19281,0.00060157,0.00060157,0.00060157
37,20866.1,1.01163,1.589,1.40608,0.75088,0.63311,0.71801,0.58487,0.73861,1.19267,1.18221,0.000582435,0.000582435,0.000582435
38,21370.5,1.00408,1.57555,1.39691,0.74664,0.65007,0.7252,0.59024,0.73638,1.17641,1.17988,0.000563181,0.000563181,0.000563181
39,21871.3,1.00168,1.55221,1.39438,0.74288,0.66377,0.7256,0.59171,0.73473,1.17149,1.17993,0.000543837,0.000543837,0.000543837
40,22366.3,0.99315,1.54844,1.39231,0.7451,0.65947,0.72624,0.59279,0.73505,1.16404,1.17916,0.000524434,0.000524434,0.000524434
41,22867.5,0.99591,1.5497,1.39748,0.74469,0.66184,0.72962,0.59514,0.73443,1.15913,1.178,0.000505,0.000505,0.000505
42,510.982,0.97812,1.50884,1.3773,0.75042,0.65907,0.7289,0.59563,0.73386,1.15513,1.17589,0.000485566,0.000485566,0.000485566
43,1015.94,0.97903,1.50932,1.37897,0.74019,0.66552,0.73022,0.59796,0.72608,1.14961,1.17182,0.000466163,0.000466163,0.000466163
44,1522.37,0.9815,1.51608,1.38458,0.74569,0.66622,0.73186,0.59908,0.72204,1.14552,1.16861,0.000446819,0.000446819,0.000446819
45,2029.47,0.97356,1.49362,1.37228,0.74335,0.67198,0.73275,0.60192,0.71878,1.14613,1.16685,0.000427565,0.000427565,0.000427565
46,2539.78,0.97258,1.47504,1.37424,0.74648,0.67115,0.73258,0.60161,0.72021,1.14292,1.16836,0.00040843,0.00040843,0.00040843
47,3050.08,0.96568,1.47012,1.37226,0.75506,0.66879,0.73491,0.60244,0.72091,1.13774,1.16829,0.000389445,0.000389445,0.000389445
